<<<<<<<<<<

1. НУ      : Vпр = 120 км/ч , Hа = 200 м , САУ : стаб Углов, Vпр
   Задание : отработка САУ перехода по Hа : 200м --> 600м

Thu Apr 05 14:13:48 2018
  iSOK Time_SPNM     xrK     xrT    rddr    aShG    ShNV     Ha       V      Vpr      Vy     kur        gam        tng        psi        tet        alf      bet     snos       wx       wy       wz      ax1      ay1      az1      Pst         q       Gp      Tnv      Trv     fig         lag      SO HH:MM:SS:MS
     70  918.080   13.66  -43.17   13.17   28.87    9.22   200.01  120.58  119.39   -0.00    1.29277    0.09867    1.68785  358.66241   -0.00026    1.684    2.633    0.013   -0.000   -0.000   -0.001    0.290    9.801    0.005  742.153     68.7   9727.2   9682.4    354.9   42.6853014  39.9476037 0 00:15:18.080
     71  918.100   13.66  -43.17   13.17   28.87    9.22   200.01  120.58  119.39   -0.00    1.29277    0.09867    1.68783  358.66240   -0.00030    1.684    2.633    0.013   -0.000   -0.000   -0.001    0.290    9.801    0.005  742.153     68.7   9727.2   9682.4    354.9   42.6853074  39.9476039 0 00:15:18.100
     72  918.120   13.66  -43.17   13.17   28.87    9.22   200.01  120.58  119.39   -0.00    1.29277    0.09867    1.68781  358.66239   -0.00035    1.684    2.633    0.013   -0.000   -0.000   -0.001    0.290    9.801    0.005  742.153     68.7   9727.2   9682.4    354.9   42.6853135  39.9476040 0 00:15:18.120
     73  918.140   13.66  -43.17   13.17   28.87    9.22   200.01  120.58  119.39   -0.00    1.29276    0.09866    1.68780  358.66239   -0.00039    1.684    2.633    0.013   -0.000   -0.000   -0.001    0.290    9.801    0.005  742.153     68.7   9727.2   9682.4    354.9   42.6853195  39.9476042 0 00:15:18.140
     74  918.160   13.66  -43.17   13.17   28.87    9.22   200.01  120.58  119.39   -0.00    1.29276    0.09866    1.68778  358.66238   -0.00043    1.684    2.633    0.013   -0.000   -0.000   -0.001    0.290    9.801    0.005  742.153     68.7   9727.2   9682.4    354.9   42.6853255  39.9476044 0 00:15:18.160
     75  918.180   13.66  -43.17   13.17   28.87    9.22   200.01  120.58  119.39   -0.00    1.29276    0.09866    1.68776  358.66238   -0.00048    1.684    2.633    0.013   -0.000   -0.000   -0.001    0.290    9.801    0.005  742.153     68.7   9727.2   9682.4    354.9   42.6853315  39.9476046 0 00:15:18.180
     76  918.200   13.66  -43.17   13.17   28.87    9.22   200.01  120.58  119.39   -0.00    1.29276    0.09866    1.68774  358.66237   -0.00052    1.684    2.633    0.013   -0.000   -0.000   -0.001    0.290    9.801    0.005  742.153     68.7   9727.2   9682.4    354.9   42.6853376  39.9476048 0 00:15:18.200
     77  918.220   13.66  -43.17   13.17   28.87    9.22   200.01  120.58  119.39   -0.00    1.29276    0.09865    1.68772  358.66237   -0.00057    1.684    2.633    0.013   -0.000   -0.000   -0.001    0.290    9.801    0.005  742.153     68.7   9727.2   9682.4    354.9   42.6853436  39.9476050 0 00:15:18.220
     78  918.240   13.66  -43.17   13.17   28.87    9.22   200.01  120.58  119.39   -0.00    1.29276    0.09865    1.68770  358.66236   -0.00061    1.684    2.633    0.013   -0.000   -0.000   -0.001    0.290    9.801    0.005  742.153     68.7   9727.2   9682.4    354.9   42.6853496  39.9476052 0 00:15:18.240
     79  918.260   13.66  -43.17   13.17   28.87    9.22   200.01  120.58  119.39   -0.00    1.29276    0.09865    1.68767  358.66236   -0.00066    1.684    2.633    0.013   -0.000   -0.000   -0.001    0.290    9.801    0.005  742.153     68.7   9727.2   9682.4    354.9   42.6853556  39.9476054 0 00:15:18.260
